# ----------------------------------------
# Alexa Internet
# Audience Overlaps for mashable.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
mashable.com,100,1518
theverge.com,25.8,443
techcrunch.com,24.1,893
businessinsider.com,21.1,373
gizmodo.com,19.2,508
wired.com,19.2,1353
time.com,17.5,767
cnbc.com,17.4,555
buzzfeed.com,17.2,206
engadget.com,17.2,649
usatoday.com,17.2,440
forbes.com,17,252
digitaltrends.com,16.8,1082
huffingtonpost.com,16.2,334
lifehacker.com,16.1,676
independent.co.uk,15.7,514
fortune.com,15.5,2689
washingtonpost.com,15.4,226
cnn.com,15.3,104
variety.com,15.3,1420
npr.org,15.2,599
vox.com,14.9,1117
cbsnews.com,14.8,750
nypost.com,14.7,734
vice.com,14.6,166
latimes.com,14.5,998
newsweek.com,14.5,1604
theatlantic.com,14.4,901
nytimes.com,14.3,117
abcnews.go.com,14,1081
ew.com,13.9,2073
foxnews.com,13.9,258
nbcnews.com,13.9,912
qz.com,13.9,2156
bustle.com,13.8,1387
hollywoodreporter.com,13.8,1612
theguardian.com,13.8,140
vulture.com,13.5,1574
slate.com,13.4,1383
telegraph.co.uk,13.4,553
vanityfair.com,13.3,2884
fastcompany.com,13.2,3471
thedailybeast.com,13.2,1288
people.com,13.1,995
wsj.com,13.1,546
medium.com,13,268
techradar.com,13,660
arstechnica.com,12.9,1236
dailymail.co.uk,12.7,158
pcmag.com,12.7,1533
polygon.com,12.7,943
thenextweb.com,12.7,5495
bloomberg.com,12.5,444
nydailynews.com,12.4,1835
imore.com,12.3,3374
inc.com,12.3,2041
adweek.com,12.1,4739
metro.co.uk,12,1640
thehill.com,12,829
bgr.com,11.9,4842
makeuseof.com,11.9,1354
reuters.com,11.9,580
rollingstone.com,11.9,1946
newyorker.com,11.8,1459
nymag.com,11.8,2241
lifewire.com,11.7,705
express.co.uk,11.4,634
hubspot.com,11.4,605
avclub.com,11.3,1466
go.com,11.3,434
quora.com,11.3,100
chicagotribune.com,11.2,2019
marketwatch.com,11.1,1149
urbandictionary.com,11.1,507
deadline.com,11,2314
knowyourmeme.com,11,885
macrumors.com,11,1906
popsugar.com,11,1813
thesun.co.uk,10.9,837
yelp.com,10.9,185
thrillist.com,10.7,2063
tomsguide.com,10.7,807
androidcentral.com,10.5,1692
entrepreneur.com,10.5,1713
kotaku.com,10.5,814
chron.com,10.4,832
kickstarter.com,10.4,604
giphy.com,10.2,478
tmz.com,10.1,1137
redd.it,10,247
eonline.com,9.9,2350
zdnet.com,9.9,3490
9to5mac.com,9.8,4693
eventbrite.com,9.8,667
politico.com,9.8,1074
refinery29.com,9.8,2759
mirror.co.uk,9.7,1167
complex.com,9.6,2717
howtogeek.com,9.6,942
recode.net,9.6,8530
snopes.com,9.6,2302
usnews.com,9.6,821
dailydot.com,9.5,7886
news.com.au,9.3,897
androidauthority.com,9.1,2765
cinemablend.com,9.1,4505
macworld.co.uk,9.1,4045
pcworld.com,9.1,2398
trustedreviews.com,9.1,2848
venturebeat.com,9,6185
weather.com,8.9,261
inverse.com,8.8,7182
zillow.com,8.8,230
glassdoor.com,8.7,401
craigslist.org,8.6,107
rottentomatoes.com,8.6,400
thesaurus.com,8.6,284
digitalspy.com,8.5,2213
usps.com,8.5,370
bleacherreport.com,8.4,617
cbslocal.com,8.4,2160
elitedaily.com,8.3,5360
gfycat.com,8.3,266
ticketmaster.com,8.3,803
cbssports.com,8.2,602
intuit.com,8.1,294
sfgate.com,8.1,1258
webmd.com,7.9,560
etsy.com,7.8,186
livestrong.com,7.8,1006
techadvisor.co.uk,7.4,4034
macworld.com,7.3,7536
nerdist.com,7.1,7502
cultofmac.com,6.9,12590
gadgethacks.com,6.9,7866
bufferapp.com,6.8,13970
socialmediaexaminer.com,6.8,11503
popsci.com,6.7,6609
androidpolice.com,6.2,4384
cnet.com,5.4,170
pocket-lint.com,3.7,11712
apple.com,3.6,72
appleinsider.com,2.9,11026
idownloadblog.com,2.6,9618
bbc.com,2.5,92
