# ----------------------------------------
# Alexa Internet
# Audience Overlaps for cbsnews.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
cbsnews.com,100,750
usatoday.com,37.6,440
abcnews.go.com,37.5,1081
cnn.com,37.4,104
nbcnews.com,37.4,912
washingtonpost.com,37.4,226
foxnews.com,36.7,258
npr.org,33.2,599
latimes.com,31.7,998
cnbc.com,31.6,555
thehill.com,31.6,829
nypost.com,31.3,734
nytimes.com,30.6,117
businessinsider.com,29.8,373
time.com,29.6,767
newsweek.com,29,1604
nydailynews.com,28.3,1835
huffingtonpost.com,27.1,334
politico.com,26.3,1074
thedailybeast.com,25.9,1288
vox.com,25.9,1117
reuters.com,25.1,580
people.com,24.9,995
wsj.com,24.5,546
theatlantic.com,24,901
chicagotribune.com,23.7,2019
cbslocal.com,23.4,2160
independent.co.uk,23,514
forbes.com,22.8,252
go.com,22.8,434
usnews.com,22.3,821
dailymail.co.uk,21.8,158
theguardian.com,21.6,140
bloomberg.com,21.1,444
variety.com,20.8,1420
theverge.com,20.5,443
yelp.com,20.1,185
fortune.com,20,2689
slate.com,20,1383
snopes.com,19.7,2302
hollywoodreporter.com,19.6,1612
cbssports.com,19.3,602
weather.com,19.3,261
vanityfair.com,19.1,2884
newyorker.com,18.9,1459
telegraph.co.uk,18.8,553
marketwatch.com,18.7,1149
buzzfeed.com,18.6,206
tmz.com,18.6,1137
vice.com,18.1,166
zillow.com,18,230
nymag.com,17.6,2241
espn.com,17.5,99
bleacherreport.com,17.4,617
gizmodo.com,17.4,508
rollingstone.com,17.3,1946
deadline.com,17,2314
ew.com,16.5,2073
craigslist.org,16.4,107
redd.it,16.3,247
sfgate.com,16.2,1258
intuit.com,15.9,294
miamiherald.com,15.9,4021
qz.com,15.9,2156
thesun.co.uk,15.9,837
wired.com,15.9,1353
pbs.org,15.8,1918
irs.gov,15.7,694
bbc.com,15.5,92
techcrunch.com,15.3,893
mercurynews.com,15.2,4540
webmd.com,15.2,560
apnews.com,15,3370
usps.com,15,370
cbc.ca,14.8,984
express.co.uk,14.8,634
mashable.com,14.8,1518
today.com,14.7,3673
vulture.com,14.5,1574
homedepot.com,14.4,374
sbnation.com,14.4,2103
lifehacker.com,14.2,676
pagesix.com,14.2,2824
walmart.com,14.2,188
bustle.com,14,1387
chase.com,14,138
news.com.au,13.8,897
gfycat.com,13.7,266
msnbc.com,13.7,2869
mirror.co.uk,13.6,1167
si.com,13.5,1967
ticketmaster.com,13.5,803
target.com,13.3,415
eventbrite.com,13.1,667
thinkprogress.org,13.1,5070
bbc.co.uk,13,101
eonline.com,13,2350
washingtonexaminer.com,12.9,7553
arstechnica.com,12.8,1236
glassdoor.com,12.7,401
metro.co.uk,12.7,1640
aol.com,12.6,325
hulu.com,12.6,234
investopedia.com,12.6,624
tripadvisor.com,12.6,239
ups.com,12.6,423
gofundme.com,12.5,1618
urbandictionary.com,12.5,507
nationalgeographic.com,12.1,1641
xfinity.com,12.1,281
bostonglobe.com,12,4602
thebalance.com,12,1255
groupon.com,11.9,654
ncaa.com,11.9,2037
allrecipes.com,11.8,977
rottentomatoes.com,11.8,400
streamable.com,11.8,1496
fedex.com,11.7,454
livescience.com,11.7,2377
fool.com,11.6,2913
heavy.com,11.6,1379
realtor.com,11.6,715
cbs.com,11.1,2166
history.com,11.1,2081
thewrap.com,10.9,7454
usmagazine.com,10.9,3813
washingtontimes.com,10.9,7141
cdc.gov,10.6,1828
abc.net.au,10.5,1053
nerdwallet.com,10.5,3253
politifact.com,10.5,9880
globalnews.ca,10.3,3215
imdb.com,10.3,57
consumerreports.org,10.2,3195
bankrate.com,10,4070
aljazeera.com,9.9,2543
realclearpolitics.com,8.3,5507
ajc.com,8.2,7678
biography.com,8.1,5287
denverpost.com,8,9148
msn.com,7.3,50
c-span.org,5.4,22339
yahoo.com,2.5,7
