# ----------------------------------------
# Alexa Internet
# Audience Overlaps for foodnetwork.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
foodnetwork.com,100,1658
allrecipes.com,74.9,977
geniuskitchen.com,71.4,2162
epicurious.com,51.3,4797
tasteofhome.com,46.1,4982
myrecipes.com,42.2,9089
thekitchn.com,42,2609
marthastewart.com,37.9,7347
delish.com,35,4007
seriouseats.com,35,3175
bonappetit.com,32.6,4770
foodandwine.com,30.6,9132
bettycrocker.com,29.5,12362
thespruce.com,27,2990
chowhound.com,26.4,7999
simplyrecipes.com,24.6,13874
bbcgoodfood.com,23.7,4256
yummly.com,21.1,11626
food52.com,18.5,9430
eatingwell.com,18.4,11372
realsimple.com,16.9,8198
cookinglight.com,16.6,16966
livestrong.com,15.7,1006
thepioneerwoman.com,15.7,24162
southernliving.com,14.8,12734
cookingchanneltv.com,14.5,45972
damndelicious.net,14.1,16446
yelp.com,14.1,185
taste.com.au,13.8,11241
buzzfeed.com,13.7,206
nytimes.com,13.7,117
eater.com,13.6,2327
pillsbury.com,13.6,27685
bhg.com,13.5,6529
countryliving.com,13.5,9088
myfitnesspal.com,13.5,925
sfgate.com,13.2,1258
jamieoliver.com,13,10083
today.com,13,3673
huffingtonpost.com,12.8,334
kraftrecipes.com,12.6,26753
goodhousekeeping.com,12.3,5440
saveur.com,12.3,18318
finecooking.com,12.2,38232
zillow.com,12,230
budgetbytes.com,11.9,11809
target.com,11.8,415
thrillist.com,11.8,2063
npr.org,11.7,599
weather.com,11.7,261
greatist.com,11.6,7534
williams-sonoma.com,11.5,9266
popsugar.com,11.4,1813
homedepot.com,11.3,374
kingarthurflour.com,11.2,18677
usatoday.com,11.2,440
groupon.com,11,654
abc.go.com,10.9,2346
cbsnews.com,10.7,750
nordstrom.com,10.7,798
recipetineats.com,10.5,24730
usps.com,10.5,370
craigslist.org,10.4,107
go.com,10.4,434
minimalistbaker.com,10.4,12374
opentable.com,10.4,2183
people.com,10.4,995
ticketmaster.com,10.4,803
therecipecritic.com,10.3,22202
latimes.com,10,998
tablespoon.com,10,36241
thespruceeats.com,10,10479
usnews.com,10,821
wayfair.com,9.9,921
costco.com,9.8,853
hulu.com,9.8,234
intuit.com,9.8,294
nbcnews.com,9.8,912
nypost.com,9.8,734
retailmenot.com,9.8,1194
walmart.com,9.8,188
washingtonpost.com,9.8,226
businessinsider.com,9.7,373
foxnews.com,9.7,258
lowes.com,9.7,733
macys.com,9.7,766
southwest.com,9.7,783
bedbathandbeyond.com,9.6,2027
irs.gov,9.6,694
abcnews.go.com,9.5,1081
chase.com,9.5,138
etsy.com,9.4,186
eventbrite.com,9.4,667
redd.it,9.4,247
sparkpeople.com,9.4,12295
thedailymeal.com,9.4,17193
thedailybeast.com,9.3,1288
gap.com,9.2,1293
ups.com,9.2,423
webmd.com,9.2,560
cbslocal.com,9.1,2160
leaf.tv,9.1,17486
realtor.com,9.1,715
thehill.com,9.1,829
airbnb.com,8.9,297
bustle.com,8.9,1387
tripadvisor.com,8.9,239
trulia.com,8.9,932
bankofamerica.com,8.8,241
cnn.com,8.8,104
inspiredtaste.net,8.8,37825
cookieandkate.com,8.7,20361
ew.com,8.7,2073
houzz.com,8.7,1534
newsweek.com,8.7,1604
overstock.com,8.7,1675
xfinity.com,8.7,281
cafedelites.com,8.6,25134
chicagotribune.com,8.6,2019
fedex.com,8.6,454
healthline.com,8.6,723
nydailynews.com,8.6,1835
theatlantic.com,8.6,901
time.com,8.6,767
capitalone.com,8.5,419
cnbc.com,8.5,555
skinnytaste.com,8.5,15866
kohls.com,8.4,1349
cbssports.com,8.3,602
lifehacker.com,8.3,676
newyorker.com,8.3,1459
slate.com,8.3,1383
variety.com,8.3,1420
addapinch.com,8.2,52699
cookingclassy.com,8.1,35558
foodnetwork.ca,8,30410
health.com,8,7903
spoonuniversity.com,7.9,16754
pinchofyum.com,7.8,24468
gimmesomeoven.com,7.7,31872
onceuponachef.com,7.5,49745
wholefoodsmarket.com,7.3,11051
spendwithpennies.com,7.1,37244
natashaskitchen.com,6.3,40282
sallysbakingaddiction.com,6.2,35597
thestayathomechef.com,5.9,48613
womansday.com,5.9,23483
justapinch.com,5.8,46521
cooks.com,5.5,56659
mccormick.com,4.9,52002
whatscookingamerica.net,4.8,101108
rachaelrayshow.com,4.1,70910
recipetips.com,3.9,121831
tastemade.com,3.7,27526
keyingredient.com,3.4,105585
allrecipes.co.uk,3.3,24624
101cookingfortwo.com,3.2,123767
emerils.com,3.2,149271
snapguide.com,3.2,40944
browneyedbaker.com,3.1,68484
food.com,3.1,52457
tastykitchen.com,3,131510
dinnerthendessert.com,2.9,49671
toriavey.com,2.9,58325
foodrepublic.com,2.8,47300
heb.com,2.8,18580
campbells.com,2.7,88546
landolakes.com,2.5,126301
pauladeen.com,2.5,196715
rachaelraymag.com,2.5,132006
spicysouthernkitchen.com,2.5,86824
tastingtable.com,2.5,37981
fatsecret.com,2.4,15774
parade.com,2.4,28231
splendidtable.org,2.4,90581
amazingribs.com,2.3,49904
