# ----------------------------------------
# Alexa Internet
# Audience Overlaps for axios.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
axios.com,100,4585
thehill.com,29.8,829
politico.com,29.4,1074
washingtonexaminer.com,27.3,7553
apnews.com,26.2,3370
msnbc.com,23.7,2869
mediaite.com,21.8,7843
thinkprogress.org,21.8,5070
talkingpointsmemo.com,20.8,6994
thedailybeast.com,20.5,1288
motherjones.com,20.3,7484
realclearpolitics.com,20.2,5507
theweek.com,20,7619
dailycaller.com,18,940
nymag.com,17.5,2241
washingtontimes.com,17.1,7141
rawstory.com,16.8,5083
theintercept.com,16.6,9426
nationalreview.com,16.5,6233
lawandcrime.com,15.9,22951
fivethirtyeight.com,15.7,1816
nbcnews.com,15.7,912
vox.com,15.5,1117
vanityfair.com,15.3,2884
breitbart.com,15.1,318
wsj.com,14.9,546
salon.com,14.8,5417
mcclatchydc.com,14.6,39392
dailykos.com,14.4,4479
newsweek.com,14.2,1604
politifact.com,14.2,9880
pagesix.com,13.9,2824
freebeacon.com,13.7,23465
newrepublic.com,13.7,15481
newyorker.com,13.5,1459
pjmedia.com,13.5,10508
cnbc.com,13.1,555
miamiherald.com,13.1,4021
slate.com,12.9,1383
nydailynews.com,12.8,1835
thewrap.com,12.8,7454
drudgereport.com,12.7,727
nypost.com,12.7,734
abcnews.go.com,12.6,1081
cbslocal.com,12.5,2160
cbsnews.com,12.5,750
sacbee.com,12.3,8069
latimes.com,12.2,998
theroot.com,12.2,3108
dailywire.com,12.1,3145
chicagotribune.com,12,2019
house.gov,11.9,8275
theatlantic.com,11.9,901
townhall.com,11.9,9675
thegatewaypundit.com,11.8,8285
weeklystandard.com,11.8,26793
splinternews.com,11.6,5146
deadline.com,11.5,2314
marketwatch.com,11.5,1149
mercurynews.com,11.5,4540
reuters.com,11.5,580
bostonglobe.com,11.3,4602
npr.org,11.3,599
recode.net,11.3,8530
redstate.com,11.2,25275
thefederalist.com,11.2,13245
foxnews.com,10.9,258
theonion.com,10.9,3475
newsbusters.org,10.6,27808
washingtonpost.com,10.6,226
jpost.com,10.4,7509
rollcall.com,10.4,44146
sfchronicle.com,10.4,10596
commondreams.org,10.3,22912
haaretz.com,10.2,7310
statesman.com,10.2,20381
theamericanmirror.com,10.2,39310
fortune.com,10.1,2689
infowars.com,10.1,4119
deadspin.com,10,1131
usatoday.com,10,440
zerohedge.com,10,1860
bloomberg.com,9.9,444
reason.com,9.9,13494
snopes.com,9.9,2302
hollywoodreporter.com,9.8,1612
cnsnews.com,9.7,30740
philly.com,9.7,7144
qz.com,9.7,2156
dallasnews.com,9.6,8437
lawfareblog.com,9.4,41108
senate.gov,9.3,11937
foxbusiness.com,9.2,8820
mediamatters.org,9,33214
kansascity.com,8.7,11846
thenation.com,8.6,17564
seattletimes.com,8.5,5089
bizjournals.com,8.4,3552
c-span.org,8.4,22339
ktla.com,8.3,13747
nj.com,8.3,3928
rollingstone.com,8.3,1946
timesofisrael.com,8.3,7262
tmz.com,8.3,1137
variety.com,8.3,1420
whitehouse.gov,8.3,9413
ballotpedia.org,8.2,3980
avclub.com,8.1,1466
eater.com,8,2327
moveon.org,8,23159
propublica.org,8,19512
al.com,7.8,10026
cnn.com,7.8,104
fox5ny.com,7.7,48874
hotair.com,7.6,15876
foreignpolicy.com,7.5,13184
investors.com,7.5,10258
politico.eu,7.5,17574
ft.com,7.4,1870
twitchy.com,6.9,16364
factcheck.org,6.8,33073
sky.com,6.7,1417
aljazeera.com,6.5,2543
bostonherald.com,6,19284
forward.com,6,26267
brookings.edu,5.5,10320
newsmax.com,2.9,8137
theblaze.com,2.5,6505
newser.com,2.2,13947
aol.com,2,325
voanews.com,2,3153
politicalwire.com,1.9,37327
wjla.com,1.9,38524
newsy.com,1.8,162683
rt.com,1.7,306
dailysignal.com,1.5,45314
france24.com,1.5,5229
rferl.org,1.5,26572
channelnewsasia.com,1.4,6562
