# ----------------------------------------
# Alexa Internet
# Audience Overlaps for wsj.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
wsj.com,100,546
marketwatch.com,39.6,1149
cnbc.com,36.4,555
bloomberg.com,34.4,444
reuters.com,34.1,580
thehill.com,26.8,829
washingtonpost.com,26.5,226
businessinsider.com,26.4,373
nytimes.com,25.6,117
usatoday.com,25.6,440
cnn.com,25.2,104
latimes.com,24.9,998
npr.org,24.9,599
seekingalpha.com,24.9,2012
nasdaq.com,24.8,3854
politico.com,24.8,1074
cbsnews.com,24.5,750
nbcnews.com,24.2,912
fortune.com,23.9,2689
nypost.com,23.5,734
foxnews.com,22.5,258
ft.com,21.9,1870
abcnews.go.com,21.7,1081
forbes.com,21.4,252
theatlantic.com,21.3,901
fool.com,21.1,2913
thedailybeast.com,20.5,1288
techcrunch.com,20.4,893
vox.com,19.6,1117
time.com,19.5,767
investopedia.com,19.4,624
nydailynews.com,19.2,1835
usnews.com,19.1,821
chicagotribune.com,19,2019
newsweek.com,19,1604
huffingtonpost.com,18.6,334
newyorker.com,18.4,1459
theverge.com,18.4,443
thestreet.com,18,8613
morningstar.com,17.8,5050
qz.com,17.7,2156
cbslocal.com,17.2,2160
slate.com,16.7,1383
yelp.com,16.7,185
wired.com,16.4,1353
nymag.com,16.3,2241
go.com,16.2,434
theguardian.com,16.2,140
variety.com,16.2,1420
dowjones.com,15.9,10895
hollywoodreporter.com,15.9,1612
vanityfair.com,15.6,2884
bizjournals.com,15.3,3552
gizmodo.com,15.2,508
independent.co.uk,15.2,514
economist.com,15.1,2378
zillow.com,15.1,230
axios.com,14.9,4585
glassdoor.com,14.9,401
weather.com,14.7,261
barrons.com,14.5,16799
people.com,14.5,995
fastcompany.com,14.4,3471
espn.com,14.2,99
telegraph.co.uk,14.1,553
buzzfeed.com,13.9,206
inc.com,13.9,2041
intuit.com,13.9,294
irs.gov,13.9,694
vice.com,13.9,166
bleacherreport.com,13.8,617
fidelity.com,13.7,696
cbssports.com,13.6,602
apnews.com,13.5,3370
dailymail.co.uk,13.3,158
chase.com,13.2,138
crunchbase.com,13.2,1981
arstechnica.com,13.1,1236
eventbrite.com,13.1,667
mashable.com,13.1,1518
prnewswire.com,12.9,4713
mercurynews.com,12.8,4540
deadline.com,12.7,2314
fivethirtyeight.com,12.5,1816
rollingstone.com,12.5,1946
washingtonexaminer.com,12.5,7553
sfgate.com,12.3,1258
craigslist.org,12.2,107
snopes.com,12.2,2302
hbr.org,12,3304
lifehacker.com,12,676
pagesix.com,11.9,2824
thebalance.com,11.9,1255
tmz.com,11.9,1137
medium.com,11.8,268
usps.com,11.8,370
ew.com,11.6,2073
bankofamerica.com,11.5,241
ticketmaster.com,11.5,803
zacks.com,11.5,11779
redd.it,11.4,247
recode.net,11.3,8530
sec.gov,11.3,5385
americanexpress.com,11.2,425
bbc.com,11.2,92
homedepot.com,11.2,374
nerdwallet.com,11.2,3253
drudgereport.com,11.1,727
pbs.org,11.1,1918
ncaa.com,10.9,2037
sbnation.com,10.9,2103
statista.com,10.9,2389
scmp.com,10.8,3228
ups.com,10.8,423
airbnb.com,10.7,297
bostonglobe.com,10.7,4602
eater.com,10.6,2327
southwest.com,10.6,783
businesswire.com,10.5,7564
tripadvisor.com,10.5,239
bankrate.com,10.4,4070
investors.com,10.2,10258
theglobeandmail.com,10,3459
entrepreneur.com,9.6,1713
aljazeera.com,8.4,2543
aol.com,8.3,325
foxbusiness.com,8.3,8820
adage.com,7.1,12047
investorplace.com,6.8,16607
globenewswire.com,6.3,17245
kiplinger.com,5.5,20732
4-traders.com,4.1,29718
advfn.com,3.9,8870
stocktwits.com,3.9,6657
yahoo.com,3.7,7
ycharts.com,3.6,31220
investing.com,2.8,628
gurufocus.com,2.7,27554
marketbeat.com,2.7,59289
msn.com,2.7,50
benzinga.com,2.5,34358
macrotrends.net,2.4,40754
barchart.com,2.3,18019
indiatimes.com,2.1,225
streetinsider.com,2.1,55289
moneycontrol.com,1.8,805
