# ----------------------------------------
# Alexa Internet
# Audience Overlaps for vox.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
vox.com,100,1117
thehill.com,33.7,829
politico.com,33,1074
theatlantic.com,32.9,901
washingtonpost.com,32.5,226
npr.org,30.6,599
newsweek.com,28.7,1604
nbcnews.com,28.6,912
cnn.com,27.6,104
newyorker.com,26.9,1459
nytimes.com,26.1,117
cbsnews.com,25.9,750
usatoday.com,25.6,440
slate.com,25.5,1383
vanityfair.com,25.4,2884
thedailybeast.com,25.3,1288
latimes.com,25.2,998
time.com,25.1,767
cnbc.com,24.1,555
nymag.com,23.7,2241
abcnews.go.com,23.1,1081
independent.co.uk,22.6,514
variety.com,22.6,1420
businessinsider.com,22.4,373
huffingtonpost.com,22.2,334
vulture.com,22.2,1574
foxnews.com,22.1,258
nypost.com,21.4,734
theverge.com,21.3,443
hollywoodreporter.com,21.1,1612
theguardian.com,21,140
qz.com,20.5,2156
vice.com,20.2,166
reuters.com,19.9,580
snopes.com,19.6,2302
wsj.com,19.6,546
chicagotribune.com,19.3,2019
fivethirtyeight.com,18.9,1816
avclub.com,18.8,1466
rollingstone.com,18.6,1946
deadline.com,18.5,2314
ew.com,18.4,2073
nydailynews.com,18.3,1835
fortune.com,18.1,2689
wired.com,17.7,1353
gizmodo.com,17.6,508
buzzfeed.com,17.4,206
bloomberg.com,17.1,444
thinkprogress.org,17.1,5070
people.com,16.8,995
forbes.com,16.6,252
indiewire.com,16.4,3223
politifact.com,15.9,9880
bustle.com,15.8,1387
telegraph.co.uk,15.8,553
msnbc.com,15.7,2869
axios.com,15.5,4585
gq.com,15.4,2707
pbs.org,15.3,1918
motherjones.com,15.1,7484
usnews.com,15,821
mashable.com,14.9,1518
redd.it,14.8,247
rottentomatoes.com,14.7,400
theroot.com,14.6,3108
washingtonexaminer.com,14.6,7553
esquire.com,14.5,2317
go.com,14.5,434
economist.com,14.4,2378
marketwatch.com,14.4,1149
apnews.com,14.1,3370
polygon.com,14.1,943
salon.com,13.9,5417
techcrunch.com,13.9,893
cbc.ca,13.8,984
yelp.com,13.8,185
bbc.com,13.6,92
dailymail.co.uk,13.4,158
cbslocal.com,13.2,2160
thecut.com,13.2,3757
express.co.uk,13.1,634
deadspin.com,13,1131
theweek.com,12.9,7619
thrillist.com,12.9,2063
arstechnica.com,12.6,1236
nationalreview.com,12.6,6233
screenrant.com,12.6,2158
bostonglobe.com,12.5,4602
theonion.com,12.5,3475
medium.com,12.4,268
gfycat.com,12.1,266
knowyourmeme.com,12.1,885
metro.co.uk,12.1,1640
aljazeera.com,12,2543
news.com.au,12,897
collider.com,11.9,4234
thesun.co.uk,11.9,837
tmz.com,11.9,1137
theconversation.com,11.8,3776
psychologytoday.com,11.7,1553
thewrap.com,11.7,7454
cinemablend.com,11.6,4505
mercurynews.com,11.6,4540
scientificamerican.com,11.5,4025
realclearpolitics.com,11.3,5507
weather.com,11.3,261
bleacherreport.com,11.2,617
zillow.com,11.2,230
lifehacker.com,11.1,676
newrepublic.com,11.1,15481
refinery29.com,11.1,2759
uproxx.com,11.1,4562
urbandictionary.com,11.1,507
eventbrite.com,11,667
pitchfork.com,11,1190
streamable.com,11,1496
denofgeek.com,10.9,3482
eater.com,10.8,2327
abc.net.au,10.7,1053
cbssports.com,10.7,602
espn.com,10.7,99
craigslist.org,10.5,107
digitalspy.com,10.5,2213
kotaku.com,10.4,814
gofundme.com,10.3,1618
history.com,10.2,2081
inverse.com,10.2,7182
thesaurus.com,10.2,284
washingtontimes.com,9.9,7141
ballotpedia.org,9.3,3980
brookings.edu,9.2,10320
thenation.com,8.9,17564
thisisinsider.com,8.6,5292
nerdist.com,8.5,7502
aol.com,7.7,325
tvline.com,6.9,5113
factcheck.org,5.7,33073
