# ----------------------------------------
# Alexa Internet
# Audience Overlaps for politico.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
politico.com,100,1074
thehill.com,55.8,829
vox.com,33,1117
thedailybeast.com,32.1,1288
nbcnews.com,30.9,912
washingtonexaminer.com,30.7,7553
axios.com,29.4,4585
washingtonpost.com,29.1,226
newsweek.com,28.2,1604
msnbc.com,28,2869
npr.org,27.3,599
nymag.com,27,2241
theatlantic.com,26.7,901
cbsnews.com,26.3,750
abcnews.go.com,25.9,1081
realclearpolitics.com,25.4,5507
foxnews.com,25.3,258
latimes.com,25.3,998
newyorker.com,25.2,1459
apnews.com,24.9,3370
wsj.com,24.8,546
thinkprogress.org,24.5,5070
fivethirtyeight.com,24.3,1816
nypost.com,24.3,734
vanityfair.com,23.9,2884
cnbc.com,23.7,555
slate.com,23.4,1383
nydailynews.com,23.3,1835
politifact.com,22.7,9880
chicagotribune.com,22.4,2019
usatoday.com,22.2,440
cnn.com,22,104
motherjones.com,22,7484
washingtontimes.com,21.6,7141
reuters.com,21,580
nationalreview.com,20.6,6233
snopes.com,20.6,2302
theweek.com,20.6,7619
nytimes.com,19.9,117
salon.com,18.7,5417
breitbart.com,18.6,318
dailycaller.com,18.4,940
cbslocal.com,18.3,2160
bloomberg.com,18.2,444
ballotpedia.org,17.8,3980
house.gov,17.8,8275
huffingtonpost.com,17.6,334
businessinsider.com,17.4,373
mediaite.com,17.2,7843
miamiherald.com,17.1,4021
hollywoodreporter.com,17,1612
pagesix.com,17,2824
marketwatch.com,16.7,1149
time.com,16.6,767
deadline.com,16.4,2314
theroot.com,16.4,3108
theintercept.com,16.3,9426
bostonglobe.com,16,4602
mercurynews.com,15.9,4540
talkingpointsmemo.com,15.9,6994
fortune.com,15.8,2689
rollingstone.com,15.5,1946
dailykos.com,15.4,4479
newrepublic.com,15.3,15481
rawstory.com,15.2,5083
people.com,15,995
variety.com,15,1420
qz.com,14.9,2156
senate.gov,14.7,11937
vice.com,14.3,166
go.com,14.2,434
thewrap.com,14.1,7454
usnews.com,14.1,821
deadspin.com,14,1131
tmz.com,14,1137
independent.co.uk,13.9,514
pbs.org,13.8,1918
theonion.com,13.3,3475
gq.com,13.1,2707
avclub.com,12.9,1466
dailywire.com,12.9,3145
bleacherreport.com,12.8,617
sacbee.com,12.7,8069
splinternews.com,12.6,5146
wired.com,12.6,1353
theverge.com,12.5,443
thenation.com,12.4,17564
c-span.org,12.3,22339
arstechnica.com,12.1,1236
gizmodo.com,12.1,508
nj.com,12.1,3928
theguardian.com,12.1,140
vulture.com,12.1,1574
economist.com,11.9,2378
philly.com,11.9,7144
yelp.com,11.8,185
drudgereport.com,11.6,727
esquire.com,11.5,2317
sfgate.com,11.4,1258
weather.com,11.4,261
ew.com,11.3,2073
zillow.com,11.3,230
whitehouse.gov,11.2,9413
thefederalist.com,11.1,13245
buzzfeed.com,10.8,206
eater.com,10.8,2327
townhall.com,10.8,9675
cbssports.com,10.7,602
techcrunch.com,10.6,893
sbnation.com,10.4,2103
redd.it,10.3,247
si.com,10.3,1967
haaretz.com,10.2,7310
reason.com,10.2,13494
ncaa.com,10.1,2037
foreignpolicy.com,10,13184
freebeacon.com,10,23465
aljazeera.com,9.8,2543
denverpost.com,9.8,9148
weeklystandard.com,9.8,26793
rollcall.com,9.4,44146
cc.com,9.3,3204
congress.gov,9.3,14146
history.com,9,2081
politico.eu,8.8,17574
brookings.edu,8.7,10320
aol.com,8.6,325
opensecrets.org,8.4,30157
factcheck.org,8.1,33073
archives.gov,7.7,11560
mediamatters.org,7.6,33214
govtrack.us,6.8,31054
csmonitor.com,5.3,19613
newsmax.com,3.8,8137
270towin.com,3,62715
bbc.com,2.8,92
theblaze.com,2.8,6505
voanews.com,2.5,3153
biography.com,2.1,5287
heritage.org,2,24420
