# ----------------------------------------
# Alexa Internet
# Audience Overlaps for qz.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
qz.com,100,2156
cnbc.com,22.8,555
theatlantic.com,20.9,901
fortune.com,20.5,2689
vox.com,20.5,1117
businessinsider.com,19.9,373
techcrunch.com,18.8,893
theverge.com,18.6,443
npr.org,18.5,599
washingtonpost.com,18,226
wired.com,17.8,1353
reuters.com,17.7,580
wsj.com,17.7,546
newsweek.com,17.4,1604
bloomberg.com,17,444
newyorker.com,16.9,1459
time.com,16.8,767
cnn.com,16.5,104
usatoday.com,16.4,440
nbcnews.com,16.3,912
nytimes.com,16.2,117
latimes.com,16.1,998
thehill.com,16,829
cbsnews.com,15.9,750
forbes.com,15.9,252
fastcompany.com,15.8,3471
independent.co.uk,15.8,514
economist.com,15.4,2378
slate.com,15.3,1383
theguardian.com,15,140
ft.com,14.9,1870
politico.com,14.9,1074
marketwatch.com,14.8,1149
nypost.com,14.8,734
huffingtonpost.com,14.7,334
vice.com,14.3,166
thedailybeast.com,14.1,1288
inc.com,14,2041
mashable.com,13.9,1518
abcnews.go.com,13.8,1081
gizmodo.com,13.7,508
nymag.com,13.6,2241
telegraph.co.uk,13.6,553
vanityfair.com,13.6,2884
foxnews.com,13.3,258
variety.com,13,1420
arstechnica.com,12.7,1236
recode.net,12.4,8530
medium.com,12.2,268
investopedia.com,12,624
buzzfeed.com,11.9,206
scmp.com,11.9,3228
nydailynews.com,11.8,1835
chicagotribune.com,11.7,2019
hollywoodreporter.com,11.7,1612
usnews.com,11.7,821
hbr.org,11.6,3304
statista.com,11.4,2389
gq.com,10.9,2707
snopes.com,10.9,2302
theconversation.com,10.9,3776
vulture.com,10.9,1574
engadget.com,10.8,649
lifehacker.com,10.7,676
rollingstone.com,10.7,1946
cbc.ca,10.5,984
people.com,10.4,995
bbc.com,10.3,92
bustle.com,10.3,1387
dailymail.co.uk,10.3,158
deadline.com,10.1,2314
news.com.au,10.1,897
digitaltrends.com,9.8,1082
fivethirtyeight.com,9.8,1816
scientificamerican.com,9.8,4025
seekingalpha.com,9.8,2012
aljazeera.com,9.7,2543
axios.com,9.7,4585
nationalgeographic.com,9.7,1641
psychologytoday.com,9.7,1553
express.co.uk,9.6,634
thesun.co.uk,9.6,837
bgr.com,9.5,4842
fool.com,9.5,2913
metro.co.uk,9.5,1640
quora.com,9.5,100
technologyreview.com,9.5,8499
thenextweb.com,9.4,5495
yelp.com,9.4,185
pbs.org,9.3,1918
thrillist.com,9.3,2063
coindesk.com,9.2,3133
mercurynews.com,9.2,4540
redd.it,9.2,247
crunchbase.com,9.1,1981
go.com,9.1,434
thecut.com,9.1,3757
abc.net.au,9,1053
eventbrite.com,9,667
bbc.co.uk,8.9,101
bizjournals.com,8.9,3552
avclub.com,8.5,1466
smithsonianmag.com,8.5,6064
bostonglobe.com,8.3,4602
cbslocal.com,8.3,2160
glassdoor.com,8.2,401
inverse.com,8.2,7182
apnews.com,8,3370
eater.com,8,2327
urbandictionary.com,8,507
weforum.org,8,6771
zdnet.com,8,3490
thesaurus.com,7.9,284
stanford.edu,7.8,681
harvard.edu,7.7,792
livemint.com,7.7,6606
sfgate.com,7.7,1258
zillow.com,7.7,230
weather.com,7.6,261
gfycat.com,7.5,266
theonion.com,7.5,3475
politifact.com,7.2,9880
thestreet.com,7.1,8613
popsci.com,6.9,6609
brookings.edu,6.8,10320
futurism.com,6.6,9450
wired.co.uk,6.6,10745
cointelegraph.com,6.3,5538
pewresearch.org,5.7,15082
geekwire.com,5.5,17931
indiatimes.com,2.6,225
bitcoin.com,2.2,5937
firstpost.com,2,1624
aol.com,1.9,325
thehindu.com,1.9,1166
voanews.com,1.9,3153
dw.com,1.8,1126
